%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.pose.position.x,field.pose.pose.position.y,field.pose.pose.position.z,field.pose.pose.orientation.x,field.pose.pose.orientation.y,field.pose.pose.orientation.z,field.pose.pose.orientation.w,field.pose.covariance0,field.pose.covariance1,field.pose.covariance2,field.pose.covariance3,field.pose.covariance4,field.pose.covariance5,field.pose.covariance6,field.pose.covariance7,field.pose.covariance8,field.pose.covariance9,field.pose.covariance10,field.pose.covariance11,field.pose.covariance12,field.pose.covariance13,field.pose.covariance14,field.pose.covariance15,field.pose.covariance16,field.pose.covariance17,field.pose.covariance18,field.pose.covariance19,field.pose.covariance20,field.pose.covariance21,field.pose.covariance22,field.pose.covariance23,field.pose.covariance24,field.pose.covariance25,field.pose.covariance26,field.pose.covariance27,field.pose.covariance28,field.pose.covariance29,field.pose.covariance30,field.pose.covariance31,field.pose.covariance32,field.pose.covariance33,field.pose.covariance34,field.pose.covariance35
14578000000,0,770000000,map,0.00805102091503,-0.0145088890166,0.0,0.0,0.0,6.12238445104e-05,0.999999998126,0.240854842633,-0.00613943256655,0.0,0.0,0.0,0.0,-0.00613943256655,0.255309742829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0720702886445
24835000000,1,24772000000,map,0.100412675446,0.00931719502415,0.0,0.0,0.0,0.110289779601,0.993899474049,0.236208053701,-0.00276413765017,0.0,0.0,0.0,0.0,-0.00276413765017,0.246057594008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0718556012844
25234000000,2,25172000000,map,0.1683634659,0.0547403245627,0.0,0.0,0.0,0.22340874107,0.974724850619,0.228416084645,0.00311341249944,0.0,0.0,0.0,0.0,0.00311341249944,0.236815567859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0764916328593
25634000000,3,25572000000,map,0.239212061992,0.100577631449,0.0,0.0,0.0,0.36914888675,0.929370270351,0.226599712822,-0.00427039517536,0.0,0.0,0.0,0.0,-0.00427039517536,0.236560644035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07742231611
26033000000,4,25972000000,map,0.298030069397,0.155697575368,0.0,0.0,0.0,0.479886296673,0.87733069151,0.234399159116,0.000653111264291,0.0,0.0,0.0,0.0,0.000653111264291,0.234449943392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0755597718257
26632000000,5,26572000000,map,0.357190474444,0.2643841409,0.0,0.0,0.0,0.588699593423,0.80835189658,0.241452586032,0.000315875021323,0.0,0.0,0.0,0.0,0.000315875021323,0.232636063086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0759031464018
27633000000,6,27572000000,map,0.406411642429,0.469526326476,0.0,0.0,0.0,0.664118554085,0.747627277539,0.25931410356,-0.00481934028646,0.0,0.0,0.0,0.0,-0.00481934028646,0.240008232314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.071137929874
28632000000,7,28572000000,map,0.408639624422,0.674920062023,0.0,0.0,0.0,0.703671535383,0.71052541847,0.269308519529,-0.00901333260662,0.0,0.0,0.0,0.0,-0.00901333260662,0.248530902657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0707495630059
30034000000,8,29972000000,map,0.409424574885,0.911106753318,0.0,0.0,0.0,0.71094139304,0.703251260691,0.283564283824,-0.0157087186452,0.0,0.0,0.0,0.0,-0.0157087186452,0.242267155193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0725060340134
31233000000,9,31172000000,map,0.394705812967,0.975663888568,0.0,0.0,0.0,0.58024719857,0.814440414366,0.289049151938,-0.022899174373,0.0,0.0,0.0,0.0,-0.022899174373,0.236346820039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.073783207694
31433000000,10,31372000000,map,0.395416784109,0.978427729964,0.0,0.0,0.0,0.466743871259,0.884392536514,0.29445361746,-0.0197188391948,0.0,0.0,0.0,0.0,-0.0197188391948,0.25021033385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0742432602204
31634000000,11,31572000000,map,0.382684013518,0.99114370379,0.0,0.0,0.0,0.344021180947,0.93896188797,0.289484554639,-0.0166943990602,0.0,0.0,0.0,0.0,-0.0166943990602,0.250179316943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0759417913438
31835000000,12,31772000000,map,0.376528526856,0.980614622666,0.0,0.0,0.0,0.21433865841,0.976759407178,0.291179344404,-0.0219672959053,0.0,0.0,0.0,0.0,-0.0219672959053,0.251688676987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0745325377128
